index,x,y
990,2402,1565.671052631579
991,2518,1564.5657894736842
992,2608,1565.921052631579
993,2799,1611.342105263158
994,2839,1596.828947368421
995,2938,1568.7631578947369
996,2948,1564.3815789473683
997,3136,1568.328947368421
998,3208,1565.25
999,3980,1564.0
1000,164,1604.6973684210527
1001,964,1603.8552631578948
1002,1047,1602.6315789473683
1003,1179,1603.0131578947369
1004,1379,1647.407894736842
1005,1419,1639.4342105263158
1006,1463,1602.1315789473683
1007,1659,1606.0263157894738
1008,1866,1609.1052631578948
1009,1974,1602.342105263158
1010,2083,1606.75
1011,2189,1604.6052631578948
1012,2302,1604.8157894736842
1013,2401,1603.907894736842
1014,2518,1603.5263157894738
1015,2608,1604.3026315789473
1016,2799,1649.4473684210527
1017,2839,1634.2894736842106
1018,2938,1606.0263157894738
1019,2948,1602.9473684210527
1020,3010,1601.9342105263158
1021,3135,1608.6447368421052
1022,3207,1602.5263157894738
1023,3524,1602.4342105263158
1024,164,1642.907894736842
1025,957,1641.5526315789473
1026,1048,1640.328947368421
1027,1179,1641.1447368421052
1028,1379,1685.7236842105262
1029,1419,1678.0131578947369
1030,1464,1640.8947368421052
1031,1659,1645.1184210526317
1032,1866,1645.1973684210527
1033,1974,1640.8157894736842
1034,2083,1645.9736842105262
1035,2188,1641.4473684210527
1036,2303,1643.828947368421
1037,2402,1644.0131578947369
1038,2519,1641.0263157894738
1039,2608,1642.9868421052631
1040,2799,1687.171052631579
1041,2839,1672.1973684210527
1042,2938,1645.0657894736842
1043,2948,1640.4605263157894
1044,3135,1644.9605263157894
1045,3208,1642.5131578947369
1046,164,1681.078947368421
1047,964,1678.4605263157894
1048,1048,1679.2763157894738
1049,1179,1679.5394736842106
1050,1379,1724.0394736842106
1051,1419,1716.4605263157894
1052,1465,1678.092105263158
1053,1660,1682.7763157894738
1054,1866,1684.8026315789473
1055,1975,1678.6973684210527
1056,2083,1682.5526315789473
1057,2189,1679.3684210526317
1058,2303,1681.5394736842106
1059,2402,1681.342105263158
1060,2519,1678.8947368421052
1061,2608,1681.1052631578948
1062,2799,1725.3947368421052
1063,2839,1709.8552631578948
1064,2938,1682.3026315789473
1065,2948,1678.3815789473683
1066,3012,1678.657894736842
1067,3135,1682.9868421052631
1068,3208,1679.3026315789473
1069,3522,1679.6052631578948
